,NO_MUNICIPIO_RESIDENCIA,NU_IDADE,TP_COR_RACA,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,IN_TREINEIRO,TP_DEPENDENCIA_ADM_ESC,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,NU_NOTA_MED
0,Adamantina,18.597122302158272,1.5359712230215827,1.9136690647482015,1.0323741007194245,1.6654676258992807,0.1906474820143885,2.642857142857143,539.1672661870501,554.5366906474821,532.1640287769783,552.5723021582733,584.6043165467626,552.6089208633093
1,Adolfo,17.902439024390244,1.8780487804878048,1.7804878048780488,0.8048780487804879,1.7073170731707317,0.04878048780487805,2.0714285714285716,491.7048780487804,511.4707317073172,504.98292682926837,504.4951219512196,504.390243902439,503.40878048780485
2,Aguaí,19.171779141104295,1.5153374233128833,1.8374233128834356,1.1349693251533743,1.5950920245398772,0.17177914110429449,2.5256410256410255,535.549386503068,542.6487730061347,527.8162576687117,552.2966257668714,570.2453987730062,545.7112883435584
3,Agudos,20.0561122244489,1.6673346693386772,1.6953907815631262,1.905811623246493,1.5270541082164328,0.13627254509018036,2.5686274509803924,527.934468937876,550.3454909819638,533.8549098196393,541.2599198396799,567.6553106212425,544.2100200400803
4,Alambari,18.64406779661017,1.4745762711864407,1.694915254237288,1.2203389830508475,1.6271186440677967,0.06779661016949153,2.242424242424242,497.46271186440686,507.1406779661017,506.8372881355933,500.36440677966095,518.9830508474577,506.1576271186441
5,Alfredo Marcondes,19.57471264367816,1.6781609195402298,1.8620689655172413,1.7586206896551724,1.2873563218390804,0.2413793103448276,2.2857142857142856,499.69425287356324,514.0264367816093,506.1896551724138,535.2333333333332,547.816091954023,520.5919540229885
6,Altair,18.28205128205128,1.8205128205128205,1.7692307692307692,1.1794871794871795,1.564102564102564,0.10256410256410256,2.0,495.1564102564104,490.6538461538461,490.6564102564103,506.4435897435898,474.35897435897436,491.4538461538462
7,Altinópolis,19.415686274509802,1.7137254901960783,1.6470588235294117,2.0352941176470587,1.4666666666666666,0.11764705882352941,2.38,522.5180392156864,528.2250980392154,518.5168627450979,542.2905882352943,555.5294117647059,533.4159999999999
8,Alto Alegre,18.906976744186046,1.3488372093023255,2.0930232558139537,0.9767441860465116,1.5116279069767442,0.3023255813953488,2.4444444444444446,503.4255813953489,520.3883720930235,513.560465116279,500.8023255813953,534.4186046511628,514.5190697674419
9,Alumínio,19.615942028985508,1.7536231884057971,1.608695652173913,1.8876811594202898,1.4746376811594204,0.09420289855072464,2.3636363636363638,518.7510869565217,526.4467391304349,525.3971014492759,532.9862318840586,543.768115942029,529.469855072464
