,Unnamed: 0,NO_MUNICIPIO_RESIDENCIA,NU_IDADE,TP_SEXO,TP_COR_RACA,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,IN_TREINEIRO,TP_DEPENDENCIA_ADM_ESC,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,Q006,Q027,Mean_notes
144536,1180713,Registro,17.0,M,1,2,0,3,0,4.0,699.7,662.2,621.9,841.4,600.0,9370,D,685.0400000000001
284583,2396422,São João da Boa Vista,18.0,F,3,2,0,2,0,2.0,451.6,555.2,512.2,537.5,600.0,937,B,531.3
409910,3435473,Bariri,20.0,F,1,1,3,1,0,,644.0,570.2,567.4,686.9,580.0,4685,D,609.7
251783,2112574,Santo André,17.0,F,1,2,0,3,0,4.0,448.9,379.4,559.5,621.0,760.0,3748,D,553.76
667341,6295572,Campos do Jordão,22.0,M,1,1,3,1,0,,396.8,535.5,554.0,538.5,560.0,937,C,516.96
271747,2280578,Santos,17.0,M,1,2,0,2,0,2.0,569.2,597.0,580.2,659.7,500.0,4685,A,581.22
448131,3807475,Leme,17.0,F,3,2,0,2,0,2.0,440.8,559.2,472.7,454.9,360.0,3748,A,457.52
280557,2351928,Francisco Morato,22.0,F,3,1,5,1,0,,407.7,528.1,528.3,574.6,540.0,1405,A,515.74
603935,5414446,Pindamonhangaba,19.0,M,1,1,2,1,0,,519.6,571.2,519.6,557.6,560.0,1405,A,545.6
437549,3707606,São Bernardo do Campo,17.0,F,1,2,0,3,0,4.0,577.4,550.0,579.7,541.6,540.0,1405,D,557.74
29035,237035,Itapevi,19.0,F,3,1,2,1,0,,438.0,518.7,444.6,427.2,640.0,1874,A,493.7
47999,383600,Guarulhos,17.0,F,1,2,0,2,0,2.0,498.8,566.7,585.2,571.7,620.0,4685,A,568.48
213040,1774596,Sorocaba,22.0,F,1,1,5,1,0,,442.2,460.8,349.6,463.7,560.0,4685,A,455.26000000000005
471333,4007184,São Paulo,20.0,M,1,1,3,1,0,,755.2,709.9,665.2,787.1,740.0,18740,D,731.48
406557,3409485,São Paulo,17.0,M,3,2,0,2,0,2.0,499.7,406.4,541.5,502.5,560.0,1874,A,502.02
38235,308765,São Paulo,17.0,F,3,2,0,2,0,2.0,475.0,461.4,467.1,522.3,440.0,937,A,473.16
637764,5884005,Diadema,19.0,M,1,2,0,2,0,2.0,573.8,559.5,474.6,502.6,540.0,1405,A,530.1
122795,998834,São Paulo,53.0,M,1,1,11,1,0,,544.8,589.0,513.9,576.1,500.0,2811,A,544.76
188195,1560989,Sorocaba,23.0,F,3,3,0,1,0,,489.8,495.2,455.4,551.1,520.0,1405,A,502.3
207463,1729716,Rio Claro,20.0,F,3,1,2,1,0,,574.0,597.8,609.3,404.7,560.0,1405,D,549.16
272283,2284670,Piracicaba,17.0,F,1,2,0,2,0,2.0,478.3,498.1,458.4,419.6,560.0,1405,A,482.88
99898,769133,São Bernardo do Campo,21.0,F,3,1,4,1,0,,436.3,544.5,479.7,576.2,580.0,1405,A,523.3399999999999
588672,5261358,Guarulhos,17.0,M,2,2,0,2,0,2.0,592.6,488.0,478.2,395.8,640.0,2811,A,518.92
647470,6020002,São Paulo,17.0,M,1,3,0,1,1,,598.4,621.2,583.9,593.9,660.0,4685,B,611.48
634768,5843956,Ribeirão Preto,20.0,F,1,1,3,1,0,,430.9,522.0,551.2,373.5,620.0,1405,A,499.52
140629,1150274,Santana de Parnaíba,18.0,M,1,2,0,3,0,4.0,553.7,565.1,582.8,712.7,600.0,20000,D,602.86
393380,3303895,Americana,18.0,M,1,2,0,3,0,4.0,608.6,603.0,598.8,685.5,560.0,937,D,611.18
544566,4779546,São Simão,21.0,F,1,1,4,1,0,,541.5,544.9,465.9,442.6,640.0,937,A,526.98
527062,4569987,São Paulo,20.0,M,1,1,2,1,0,,490.1,553.3,575.4,606.7,620.0,937,A,569.1
22980,191381,São Paulo,17.0,F,1,2,0,3,0,4.0,574.8,559.2,621.2,645.8,760.0,5622,D,632.2
