,cidade,cod
0,Adamantina,1
1,Adolfo,2
2,Aguaí,3
3,Águas da Prata,4
4,Águas de Lindoia,5
5,Águas de Santa Bárbara,6
6,Águas de São Pedro,7
7,Agudos,8
8,Alambari,9
9,Alfredo Marcondes,10
10,Altair,11
11,Altinópolis,12
12,Alto Alegre,13
13,Alumínio,14
14,Álvares Florence,15
15,Álvares Machado,16
16,Álvaro de Carvalho,17
17,Alvinlândia,18
18,Americana,19
19,Américo Brasiliense,20
20,Américo de Campos,21
21,Amparo,22
22,Analândia,23
23,Andradina,24
24,Angatuba,25
25,Anhembi,26
26,Anhumas,27
27,Aparecida,28
28,Aparecida d'Oeste,29
29,Apiaí,30
30,Araçariguama,31
31,Araçatuba,32
32,Araçoiaba da Serra,33
33,Aramina,34
34,Arandu,35
35,Arapeí,36
36,Araraquara,37
37,Araras,38
38,Arco-Íris,39
39,Arealva,40
40,Areias,41
41,Areiópolis,42
42,Ariranha,43
43,Artur Nogueira,44
44,Arujá,45
45,Aspásia,46
46,Assis,47
47,Atibaia,48
48,Auriflama,49
49,Avaí,50
50,Avanhandava,51
51,Avaré,52
52,Bady Bassitt,53
53,Balbinos,54
54,Bálsamo,55
55,Bananal,56
56,Barão de Antonina,57
57,Barbosa,58
58,Bariri,59
59,Barra Bonita,60
60,Barra do Chapéu,61
61,Barra do Turvo,62
62,Barretos,63
63,Barrinha,64
64,Barueri,65
65,Bastos,66
66,Batatais,67
67,Bauru,68
68,Bebedouro,69
69,Bento de Abreu,70
70,Bernardino de Campos,71
71,Bertioga,72
72,Bilac,73
73,Birigui,74
74,Biritiba-Mirim,75
75,Boa Esperança do Sul,76
76,Bocaina,77
77,Bofete,78
78,Boituva,79
79,Bom Jesus dos Perdões,80
80,Bom Sucesso de Itararé,81
81,Borá,82
82,Boraceia,83
83,Borborema,84
84,Borebi,85
85,Botucatu,86
86,Bragança Paulista,87
87,Braúna,88
88,Brejo Alegre,89
89,Brodowski,90
90,Brotas,91
91,Buri,92
92,Buritama,93
93,Buritizal,94
94,Cabrália Paulista,95
95,Cabreúva,96
96,Caçapava,97
97,Cachoeira Paulista,98
98,Caconde,99
99,Cafelândia,100
100,Caiabu,101
101,Caieiras,102
102,Caiuá,103
103,Cajamar,104
104,Cajati,105
105,Cajobi,106
106,Cajuru,107
107,Campina do Monte Alegre,108
108,Campinas,109
109,Campo Limpo Paulista,110
110,Campos do Jordão,111
111,Campos Novos Paulista,112
112,Cananeia,113
113,Canas,114
114,Cândido Mota,115
115,Cândido Rodrigues,116
116,Canitar,117
117,Capão Bonito,118
118,Capela do Alto,119
119,Capivari,120
120,Caraguatatuba,121
121,Carapicuíba,122
122,Cardoso,123
123,Casa Branca,124
124,Cássia dos Coqueiros,125
125,Castilho,126
126,Catanduva,127
127,Catiguá,128
128,Cedral,129
129,Cerqueira César,130
130,Cerquilho,131
131,Cesário Lange,132
132,Charqueada,133
133,Chavantes,134
134,Clementina,135
135,Colina,136
136,Colômbia,137
137,Conchal,138
138,Conchas,139
139,Cordeirópolis,140
140,Coroados,141
141,Coronel Macedo,142
142,Corumbataí,143
143,Cosmópolis,144
144,Cosmorama,145
145,Cotia,146
146,Cravinhos,147
147,Cristais Paulista,148
148,Cruzália,149
149,Cruzeiro,150
150,Cubatão,151
151,Cunha,152
152,Descalvado,153
153,Diadema,154
154,Dirce Reis,155
155,Divinolândia,156
156,Dobrada,157
157,Dois Córregos,158
158,Dolcinópolis,159
159,Dourado,160
160,Dracena,161
161,Duartina,162
162,Dumont,163
163,Echaporã,164
164,Eldorado,165
165,Elias Fausto,166
166,Elisiário,167
167,Embaúba,168
168,Embu das Artes,169
169,Embu-Guaçu,170
170,Emilianópolis,171
171,Engenheiro Coelho,172
172,Espírito Santo do Pinhal,173
173,Espírito Santo do Turvo,174
174,Estiva Gerbi,175
175,Estrela do Norte,176
176,Estrela d'Oeste,177
177,Euclides da Cunha Paulista,178
178,Fartura,179
179,Fernando Prestes,180
180,Fernandópolis,181
181,Fernão,182
182,Ferraz de Vasconcelos,183
183,Flora Rica,184
184,Floreal,185
185,Flórida Paulista,186
186,Florínea,187
187,Franca,188
188,Francisco Morato,189
189,Franco da Rocha,190
190,Gabriel Monteiro,191
191,Gália,192
192,Garça,193
193,Gastão Vidigal,194
194,Gavião Peixoto,195
195,General Salgado,196
196,Getulina,197
197,Glicério,198
198,Guaiçara,199
199,Guaimbê,200
200,Guaíra,201
201,Guapiaçu,202
202,Guapiara,203
203,Guará,204
204,Guaraçaí,205
205,Guaraci,206
206,Guarani d'Oeste,207
207,Guarantã,208
208,Guararapes,209
209,Guararema,210
210,Guaratinguetá,211
211,Guareí,212
212,Guariba,213
213,Guarujá,214
214,Guarulhos,215
215,Guatapará,216
216,Guzolândia,217
217,Herculândia,218
218,Holambra,219
219,Hortolândia,220
220,Iacanga,221
221,Iacri,222
222,Iaras,223
223,Ibaté,224
224,Ibirá,225
225,Ibirarema,226
226,Ibitinga,227
227,Ibiúna,228
228,Icém,229
229,Iepê,230
230,Igaraçu do Tietê,231
231,Igarapava,232
232,Igaratá,233
233,Iguape,234
234,Ilha Comprida,235
235,Ilha Solteira,236
236,Ilhabela,237
237,Indaiatuba,238
238,Indiana,239
239,Indiaporã,240
240,Inúbia Paulista,241
241,Ipaussu,242
242,Iperó,243
243,Ipeúna,244
244,Ipiguá,245
245,Iporanga,246
246,Ipuã,247
247,Iracemápolis,248
248,Irapuã,249
249,Irapuru,250
250,Itaberá,251
251,Itaí,252
252,Itajobi,253
253,Itaju,254
254,Itanhaém,255
255,Itaoca,256
256,Itapecerica da Serra,257
257,Itapetininga,258
258,Itapeva,259
259,Itapevi,260
260,Itapira,261
261,Itapirapuã Paulista,262
262,Itápolis,263
263,Itaporanga,264
264,Itapuí,265
265,Itapura,266
266,Itaquaquecetuba,267
267,Itararé,268
268,Itariri,269
269,Itatiba,270
270,Itatinga,271
271,Itirapina,272
272,Itirapuã,273
273,Itobi,274
274,Itu,275
275,Itupeva,276
276,Ituverava,277
277,Jaborandi,278
278,Jaboticabal,279
279,Jacareí,280
280,Jaci,281
281,Jacupiranga,282
282,Jaguariúna,283
283,Jales,284
284,Jambeiro,285
285,Jandira,286
286,Jardinópolis,287
287,Jarinu,288
